Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score,
11,11.1,Lack of transparent technical standards,0,Law N°396-VI on Technical Regulation (Қазақстан Республикасының Заңы 2020 жылғы 30 желтоқсандағы № 396-VI ҚРЗ),"According to Article 21 of the Law on Technical Regulation of the Republic of Kazakhstan, the development, amendment, and cancellation of technical regulations must be conducted in a transparent manner, with public participation as a core requirement. The article stipulates that proposals for such regulations should involve input from state bodies, technical committees on standardization, the National Chamber of Entrepreneurs, and other interested parties. Once the draft regulation is prepared, it is mandatory for the state body responsible for its development to publish a notification on the internet, ensuring the public has access to the draft for review. This notification must be available no later than thirty days after the project begins, and the draft is subject to public discussion for at least sixty days. During this period, stakeholders can provide comments and suggestions. The state body is then required to consider this feedback, finalize the project, and make it available in the public information system, enhancing transparency and ensuring that all relevant stakeholders have the opportunity to engage in the standard-setting process.","Since December 2020, last amended in August 2024",https://adilet.zan.kz/kaz/docs/Z2000000396,https://adilet.zan.kz/eng/docs/Z2000000396,,,0.150,
11,11.2,"Self-certification limitations for product safety (radio transmissions, EMC/EMI)",0,Eurasian Economic Union Treaty,"Section X (Technical Regulation) of the Eurasian Economic Union Treaty establishes the uniform technical standards, including the unity of the rules and methods of research (tests) and measurements during the mandatory conformity assessment procedures (Article 51(6)). Supplier’s Declaration of Conformity (SDoC) and related conformity assessment results including testing reports from one EAEU Member State must be recognized and accepted by all other Member States. 

Article 53(2) (Circulation of Products and Technical Regulations of the EAEU) of the Treaty stipulates that products that are subject to the enforced technical regulation of the EAEU can be put into the circulation at the territory of the EAEU, provided that it has passed the necessary conformity assessment procedures established under the technical regulation of the EAEU. Member States shall ensure circulation of products conforming to the requirements of the technical regulation of the EAEU on its territory without application of additional with regard to the technical regulation of the EAEU requirements to such products and without additional conformity assessment procedures.

Annex 9 to the Treaty ""Protocol on Technical Regulation within the Eurasian Economic EAEU"" prescribes that Conformity assessment of objects of technical regulating established in the technical regulation of the EAEU shall be made in form of registration (state registration), testing, confirmation of compliance, expertise and (or) in any other form. Mandatory conformity assessment is carried out in the form of declaration of conformity and certification. (Clause 5). Specifically, “Certificate of compliance with technical regulations of the EAEU” means the document by which the authority for certification certifies compliance of the products released for circulation with requirements of technical regulation of the EAEU (technical regulations of the EAEU). ",Since Janury 2015,https://www.wto.org/english/thewto_e/acc_e/kaz_e/wtacckaz85_leg_1.pdf,,,,,
11,11.2,"Self-certification limitations for product safety (radio transmissions, EMC/EMI)",0.50,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ;

Law No.396-VI on technical regulation, 2020 (Қазақстан Республикасының Заңы 2020 жылғы 30 желтоқсандағы № 396-VI ҚРЗ)","According to Article 16 of the Law on Communication, technical means of communications used in the telecommunications network of the Republic of Kazakhstan are subject to procedure of mandatory conformity acknowledgment by the authorities. 

Under Article 13 of the Law on Technical Regulation, conformity bodies in Kazakhstan must be accredited by the national accreditation authority. These bodies are required to use test results from accredited laboratories when performing mandatory assessments, ensuring a third-party verification system. The article states the following key points regarding third-party certification:
Article 13(3): Conformity bodies are authorized to handle applications for both mandatory and voluntary conformity checks. They assess compliance and perform necessary verification work, thus eliminating the possibility for foreign suppliers to self-certify.
Article 13(4): Conformity bodies have the right to issue certificates of conformity or register declarations of conformity only after thorough third-party assessments, reinforcing the reliance on accredited bodies rather than self-declarations by suppliers

Article 28-7 of the Law of Communications requires owners to ensure that their equipment complies with the technical characteristics and operating conditions stated in their notification documents. It mandates adherence to established rules and regulations regarding the operation of radio-electronic equipment, which is directly related to product safety standards for radio transmissions and EMI/EMC.

Article 28-8 of the law on Communications outlines the monitoring activities carried out by state authorities to ensure that equipment using the radio frequency spectrum meets the necessary technical standards, including compliance with EMC and EMI regulations.","Since July 2004, last amended in August 2024 ;

Since December 2020, last amended in September 2024",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/Z2000000396,http://adilet.zan.kz/eng/docs/Z040000567_,https://adilet.zan.kz/eng/docs/Z2000000396,,
11,11.3,Product screening and testing requirements,0.50,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ;

Law No.396-VI on technical regulation, 2020 (Қазақстан Республикасының Заңы 2020 жылғы 30 желтоқсандағы № 396-VI ҚРЗ)","According to Article 16 of the Law on Communication, technical means of communications used in the telecommunications network of the Republic of Kazakhstan are subject to procedure of mandatory conformity acknowledgment by the authorities. 

Article 17-1 of the Law on Communications stipulates that the import of limited radio-electronic and high-frequency devices, including those embedded within other products, from countries outside the Eurasian Economic Union into Kazakhstan requires a license. This import licensing is administered by a government-authorized body and is a measure aimed at regulating and screening foreign ICT products that may impact national security. However, one exemption from this licensing requirement is granted specifically for products imported solely for the purpose of testing to confirm conformity, including certification or declaration of conformity.

Under Article 13 of the Law on Technical Regulation, Kazakhstan mandates that conformity assessment bodies must be accredited by a national authority. These accredited bodies rely on test results from approved laboratories, thereby ensuring that all assessments are conducted through an external, third-party verification system. The article further specifies that conformity bodies, as accredited entities, are authorized to manage both mandatory and voluntary compliance checks, assessing each product's adherence to national standards and performing verification work to guarantee compliance. According to Article 13(3), conformity bodies are exclusively responsible for issuing certificates of conformity or registering declarations of conformity after completing third-party evaluations, precluding any self-certification by foreign suppliers. Article 13(4) strengthens this framework by mandating that conformity bodies issue certificates only after comprehensive third-party assessments, affirming Kazakhstan's strict reliance on accredited bodies for product safety.

","Since July 2004, last amended in August 2024 ;

Since December 2020, last amended in September 2024",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/Z2000000396,http://adilet.zan.kz/eng/docs/Z040000567_,https://adilet.zan.kz/eng/docs/Z2000000396,,
11,11.4,"Deviation from international encryption standards (ISO, IEC, ITU, FIPS, AES, TDES, and ECC)",0,"Law No. 567-V on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ; 

Order No. 595/NK of the Minister of Digital Development, Innovation and Aerospace Industry, 2023 (Қазақстан Республикасының Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрінің 2023 жылғы 1 желтоқсандағы № 595/НҚ бұйрығы. Қазақстан Республикасының Әділет министрлігінде 2023 жылғы 6 желтоқсанда № 33727 болып тіркелді)","Article 26.3(1) of the law stipulates that international operators shall carry out traffic transmission using the protocols, supporting encryption with the use of a security certificate. Security certificate is a set of electronic digital characters used to route traffic containing protocols that support encryption determined by  the National Security Committee of the Republic of Kazakhstan. 

In addition, Article 23(2) and 23(3) state that the procedure for organization of encrypted work in the authorized state bodies, military management bodies, national security and internal affairs of the Republic of Kazakhstan and the procedure for ensuring governmental communication shall be developed by the Committee for national security of the Republic of Kazakhstan and determined by the President of the Republic of Kazakhstan.


The ST RK GOST R 34.10-2015 standard was officially adopted in Kazakhstan on December 1, 2023, as per Order No. 595/НҚ issued by the acting Minister of Investment and Development of the Republic of Kazakhstan. This order amended the existing regulations concerning the issuance, storage, and revocation of registration certificates, as well as the verification of the ownership and validity of electronic digital signature (EDS) public keys by the National Certification Authority (NCA) of Kazakhstan. The transition to this cryptographic standard was implemented on April 30, 2024, with the NCA RK commencing the issuance of EDS keys based on the ST RK GOST R 34.10-2015 algorithm from that date.

ST RK GOST R 34.10-2015 is a Kazakh adaptation of the Russian cryptographic standard GOST R 34.10-2012, which defines a digital signature algorithm based on elliptic curve cryptography and has been incorporated into the ISO/IEC 14888-3 standard.","Since July 2004, last amended in August 2024;

Since December 2023, last amended in February 2024 and implemented in April 2024",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/V2300033727,http://adilet.zan.kz/eng/docs/Z040000567_,https://www.iso.org/obp/ui/en/#iso:std:iso-iec:14888:-3:ed-4:v1:en,,
12,12.01,Foreign equity limits in e-commerce sector,0,"Law No. 544 on Regulation of Trading Activities, 2004 (Қазақстан Республикасының 2004 жылғы 12 сәуірдегі N 544 Заңы) ;

Order No.264 on Approval of the Rules of Domestic Trade, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің м.а. 2015 жылғы 27 наурыздағы № 264 бұйрығы) ;

Order No.4 on Approval of the Notification Templates and the Rules for Submission of Notifications by State Authorities, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің 2015 жылғы 6 қаңтардағы № 4 бұйрығы)","There is no foreign direct investment cap on the sector of  e-commerce in Kazakhstan.

","Since April 2004, last amended in August 2024;

Since March 2015, last amended in July 2024;

Since January 2015, last amended in March 2024 ",http://adilet.zan.kz/rus/docs/Z040000544_,http://adilet.zan.kz/rus/docs/V1500011148,http://adilet.zan.kz/rus/docs/V1500010194,,0.270,
12,12.2,"Online purchases and delivery limitations
Exception: Not score limitations on online purchases and delivery applied specifically to products related to consumer protection, notably restrictions on alcoholic beverages, tobacco, and pharmaceuticals.",0,"Law No. 544 on Regulation of Trading Activities, 2004 (Қазақстан Республикасының 2004 жылғы 12 сәуірдегі N 544 Заңы) ;

Order No.264 on Approval of the Rules of Domestic Trade, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің м.а. 2015 жылғы 27 наурыздағы № 264 бұйрығы) ;

Order No.4 on Approval of the Notification Templates and the Rules for Submission of Notifications by State Authorities, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің 2015 жылғы 6 қаңтардағы № 4 бұйрығы)",Kazakhstan does not have explicit limitations on the number of goods that can be imported through e-commerce platforms or restrictions on the delivery of products bought online,"Since April 2004, last amended in August 2024;

Since March 2015, last amended in July 2024;

Since January 2015, last amended in March 2024 ",http://adilet.zan.kz/rus/docs/Z040000544_,http://adilet.zan.kz/rus/docs/V1500011148,http://adilet.zan.kz/rus/docs/V1500010194,,,
12,12.3,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. ",0,"Law No. 544 on Regulation of Trading Activities, 2004 (Қазақстан Республикасының 2004 жылғы 12 сәуірдегі N 544 Заңы) ;

Order No.264 on Approval of the Rules of Domestic Trade, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің м.а. 2015 жылғы 27 наурыздағы № 264 бұйрығы) ;

Order No.4 on Approval of the Notification Templates and the Rules for Submission of Notifications by State Authorities, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің 2015 жылғы 6 қаңтардағы № 4 бұйрығы)","There is no special or additional license specifically for e-commerce businesses in Kazakhstan, all businesses must be registered with the government. This includes obtaining a business identification number (BIN) and complying with general business regulations such as tax registration and reporting requirements.","Since April 2004, last amended in August 2024;

Since March 2015, last amended in July 2024;

Since January 2015, last amended in March 2024 ",http://adilet.zan.kz/rus/docs/Z040000544_,http://adilet.zan.kz/rus/docs/V1500011148,http://adilet.zan.kz/rus/docs/V1500010194,,,
12,12.4,"Restrictions on online payment 
",0,"Law No. 11-IV LRK. on Payments and payment systems, 2016 (Қазақстан Республикасының Заңы 2016 жылғы 26 шілдедегі № 11-VІ ҚРЗ) ",Law No.11-IV LRK  does not  mandate the use of local bank accounts for online payments or electronic payment services.,"Since July 2016, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1600000011,https://adilet.zan.kz/eng/docs/Z1600000011,,,,
12,12.4,"Restrictions on online payment 
",0,"Law No. 11-IV LRK. on Payments and payment systems, 2016 (Қазақстан Республикасының Заңы 2016 жылғы 26 шілдедегі № 11-VІ ҚРЗ) ",Kazakhstan does not have specify any requirements regarding the currency to be used for international payments.,"Since July 2016, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1600000011,https://adilet.zan.kz/eng/docs/Z1600000011,,,,
12,12.4,"Restrictions on online payment 
",0,"Law No. 11-IV LRK. on Payments and payment systems, 2016 (Қазақстан Республикасының Заңы 2016 жылғы 26 шілдедегі № 11-VІ ҚРЗ) ;

Resolution of the Board of the National Bank of the Republic of Kazakhstan No. 133 on Approval of the Program of National Payment System Development in the Republic of Kazakhstan until the Year 2025 (Қазақстан Республикасының Ұлттық Банкі Басқармасының № 133 Қаулысы 2025 жылға дейін Қазақстан Республикасының Ұлттық төлем жүйесін дамыту бағдарламасын бекіту туралы)","According to Article 5(7), payment service providers adhere to certain security measures set by the National Bank of Kazakhstan. 

According to the Resolution of the Board of the National Bank of the Republic of Kazakhstan No. 133 on Approval of the Program of National Payment System Development in the Republic of Kazakhstan until the Year 2025, payment services must comply with measures aimed at enhancing security and aligning with international standards. The adoption of the ISO 20022 standard is central to this initiative, as it promotes more efficient payment processing, improved security, and both domestic and international interoperability. Overseen by SWIFT, ISO 20022 is increasingly adopted by leading financial institutions worldwide, with European and American banks implementing it by 2022. This global shift is further supported by major international systems such as CLS and Euroclear, which encourage their participants to adopt ISO 20022 for streamlined, standardized communication. For Kazakhstan, implementing ISO 20022 in payment services will simplify interactions between national and international systems, contributing to a secure, efficient, and globally connected payment environment.","Since July 2016, last amended in February 2024 ;

Since January 2021",https://adilet.zan.kz/kaz/docs/Z1600000011,https://adilet.zan.kz/eng/docs/Z1600000011,https://nationalbank.kz/en/npa/platezhnye-sistemy,,,
12,12.4,"Restrictions on online payment 
",1,"Law No. 11-IV LRK. on Payments and payment systems, 2016 (Қазақстан Республикасының Заңы 2016 жылғы 26 шілдедегі № 11-VІ ҚРЗ) ","According to Article 13(1) of Law No.11-IV LRK,  payment services can only be provided in Kazakhstan by entities that have obtained a license from the National Bank of Kazakhstan. 

According to Article 16 of the Law on Payments and payment systems, to complete registration, a payment organization must submit an application to the National Bank, providing details on executive leadership, documentation on authorized capital, a charter, and a framework for interactions with partner banks. Additional requirements include operational rules approved by the organization's governing body, which must comply with regulations from the National Bank. The National Bank reviews these applications within ten working days and either assigns a registration number or issues a refusal with reasons. Registered payment organizations must display their registration number in public communications and notify the National Bank of any subsequent changes in their foundational documents within ten calendar days. Furthermore, foreign entities from non-compliant jurisdictions on the FATF list are prohibited from holding stakes in Kazakhstani payment organizations.

","Since July 2016, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1600000011,https://adilet.zan.kz/eng/docs/Z1600000011,,,,
12,12.4,"Restrictions on online payment 
",1,"Law No. 11-IV LRK. on Payments and payment systems, 2016 (Қазақстан Республикасының Заңы 2016 жылғы 26 шілдедегі № 11-VІ ҚРЗ) ;

Law No. 43-VIII ZRK, on the republican budget for 2024 - 2026, 2023 (Қазақстан Республикасының Заңы 2023 жылғы 5 желтоқсандағы № 43-VIII ҚРЗ)","According to Article 4(19), the National Bank of Kazakhstan has the authority to set limits on the size of payments and money transfers on correspondent accounts between banks, both domestic and international. 

According to Article 44 of the Law on Payments and payment systems, the maximum amount of one operation performed by an unidentified owner of electronic money - an individual, should not exceed an amount equal to fifty times the size of the monthly calculation index established for the corresponding financial year by the law on the republican budget. Additionnally, the maximum amount of one operation performed by a simplified identified owner of electronic money - an individual, should not exceed an amount equal to one hundred times the monthly calculation index established for the corresponding financial year by the law on the republican budget. Finally, the maximum amount of one transaction performed by the owner of electronic money - an individual entrepreneur or a legal entity, should not exceed an amount equal to a thousand times the monthly calculation index established for the corresponding financial year by the law on the republican budget.

According to Article 9(4) of the Law on the Republican Budget of 204-2026, the Install from January 1, 2024, the monthly calculation index corresponds to 3.692 tenge (USD 7.55).","Since July 2016, last amended in February 2024 ;

Since January 2024",https://adilet.zan.kz/kaz/docs/Z1600000011,https://adilet.zan.kz/eng/docs/Z1600000011,https://adilet.zan.kz/kaz/docs/Z2300000043,https://adilet.zan.kz/rus/docs/Z2300000043/info,,
12,12.4,"Restrictions on online payment 
",1,"Law No.167-VІ on Currency Regulation and Currency Control, 2019 (Қазақстан Республикасының Заңы 2018 жылғы 2 шiлдедегi № 167-VІ ҚРЗ)","Article 7(1) of the Law mandates the use of a local bank for settlements in foreign currency between residents of the RK and non-residents.

According to Article 7(1)(15), exception is made for settlements made from foreign bank's account of a non-resident, carried out on account of fulfilment of obligations of a resident (e.g., when a parent foreign company pays for its local branch in the RK) and for settlements with non-residents made from the resident's account in a foreign bank. 

According to Article 7(2), foreign currency in cash received by legal entities and foreign branches on the territory of the RK (prior to 2019 - non-residents) must be credited to the local bank account. 

Also, under Article 6(1) settlements between residents of the RK (including local branches of foreign non-financial legal entities considered as residents) must be effected in local currency. ","Since 2019, last amended in August 2024 ",https://adilet.zan.kz/kaz/docs/Z1800000167,https://adilet.zan.kz/eng/docs/Z1800000167/info,http://adilet.zan.kz/rus/docs/Z1800000167,,,
12,12.4,"Restrictions on online payment 
",0,"Law No. 11-IV LRK. on Payments and payment systems, 2016 (Қазақстан Республикасының Заңы 2016 жылғы 26 шілдедегі № 11-VІ ҚРЗ) ",There are no other online payment limitations in Kazakhstan.,"Since July 2016, last amended in February 2024",https://adilet.zan.kz/kaz/docs/Z1600000011,https://adilet.zan.kz/eng/docs/Z1600000011,,,,
12,12.5,Low De Minimis,0,"Law No.123-VI on customs regulation in the Republic of Kazakhstan, 2017 (Қазақстан Республикасының Кодексі 2017 жылғы 26 желтоқсандағы № 123-VІ ҚРЗ) 
","According to Article 5 of the Law No.123-VI on customs regulation in the Republic of Kazakhstan, Kazakhstan follows the customs legislation and the de minimis threshold of the Eurasian Economic Union (EAEU).

","Since December 2017, last amended in August 2024 ",https://adilet.zan.kz/kaz/docs/K1700000123,,,,,
12,12.5,Low De Minimis,0,"Decision of the Eurasian Economic Commission No. 107 on the Categories of Goods for Personal Use and Methods of their Import, including Value, Weight, and Quantity Import Standards (О категориях товаров для личного пользования и способах их ввоза, включая стандарты по стоимости, весу и количеству импортируемых товаров);

Decision of the Eurasian Economic Commission No. 87 on the Value and Weight Limits for Goods Imported via International Mail for Personal Use (О пределах стоимости и веса товаров, ввозимых для личного пользования посредством международной почты)","The de minimis thresholds for duty-free importation of personal use goods into Eurasian Economic Union (EAEU) member states have evolved over time and currently depend on the mode of transport and import date. The foundational framework was established by Decision No. 107 of 2017 Appendix 1, which first set the categories of goods for personal use and initial value, weight, and quantity standards. 

On October 22, 2024, the EEC Council Decision No. 87 dated October 18, 2024, introduced changes to the value, weight, and/or quantity norms within which goods for personal use are imported into the customs territory of the EAEU without payment of customs duties and taxes, as established by EEC Council Decision No. 107 dated December 20, 2017. The new version clarifies the value, weight, and/or quantity norms for the importation of goods for personal use sent by international postal shipments. These are as follows:
- For goods — the value does not exceed the equivalent of 200 euros, and the gross weight does not exceed 31 kg;
- For tobacco; tobacco products; vapes — 200 cigarettes, or 50 cigars (cigarillos), or 200 heated tobacco products (“sticks”), or 250 grams of tobacco, or assorted products with a total weight of no more than 250 grams.

Therefore, as of 2025, the EAEU maintains a de minimis threshold of €200 (approximately USD 230) and 31 kg for goods imported for personal use via international mail.  ","Since December 2017;

Since November 2024",https://www.alta.ru/tamdoc/17sr0107/#pril1,https://www.alta.ru/tamdoc/24sr0087/,,,,
12,12.6,Domain name requirements,1,"Law No. 417-V on Informatization, 2015 (Қазақстан Республикасының Заңы 2015 жылғы 24 қарашадағы № 418-V ҚРЗ);

Order No. 38/NK on approval of the rules for registration, use and distribution of domain names in the Kazakh segment of the Internet, 2018 (Қазақстан Республикасының Қорғаныс және аэроғарыш өнеркәсібі министрінің 2018 жылғы 13 наурыздағы № 38/НҚ бұйрығы. Қазақстан)

","According to Article 56-1 of the Law No.417-V on Informatization: (1°) Internet resource with registered domain names. KZ and (or) .ҚAZ is placed in the space of the Kazakhstan segment of the Internet and, (2) the use of .KZ and (or) .ҚAZ domain names in the space of the Kazakhstan segment of the Internet when transmitting data by Internet resources is carried out using security certificates.

According to Article 16(6) of the Order No.38/NK on approval of the rules for registration, use, and distribution of domain names in the Kazakh segment of the Internet, internet resources with "".kz"" and "".қaz"" domain names must be hosted on hardware and software complexes located within the territory of Kazakhstan.","Since November 2015 last amended in August 2024 ;

Since March 2018, last amended in September 2022",https://adilet.zan.kz/kaz/docs/Z1500000418,https://adilet.zan.kz/eng/docs/K1700000123/info,https://adilet.zan.kz/kaz/docs/V1800016654/info,https://adilet.zan.kz/rus/docs/V1800016654/info,,
12,12.7,Local presence requirements for online service providers,1,"Law No.18-VIII on Online Platforms and Online Advertising,  2023 (Қазақстан Республикасының Заңы 2023 жылғы 10 шiлдедегi № 18-VIII ҚРЗ)","According to Article 9 of the Law No.18-VIII on Online Platforms and Online Advertising, to carry out activities on the territory of the Republic of Kazakhstan, the owners and (or) other legal representatives of online platforms whose average daily access to online platforms during a month is more than one hundred thousand users located on the territory of the Republic of Kazakhstan, appoint their legal representative for interaction with the authorized body in accordance with the requirements established by the Civil Code of the Republic of Kazakhstan.",Since July 2023,https://adilet.zan.kz/kaz/docs/Z2300000018/info,https://adilet.zan.kz/eng/docs/Z2300000018,,,,
12,12.8,Lack of legal framework for online consumer protection,0,"Law No.274-IV on Protection of Consumer Rights, 2010 (Қазақстан Республикасының 2010 жылғы 4 мамырдағы № 274-IV Заңы)","Articles 33-1 and  33-2 of the Law No.274-IV on protection of consumer rights establish an online consumer protection legal framework.

Precisely, Article 33-1 obligates electronic trading platforms to implement internal procedures that prevent false information and illegal trade, ensuring consumer rights are protected. Additionally, it mandates that software and hardware supporting e-commerce must operate through secure communication links, which further safeguards consumers during online transactions​. 

Futhermore, Article 33-2 requires that sellers (manufacturers or service providers) include contact details of authorized bodies responsible for pre-trial consumer dispute settlements, as well as information on the consumer’s right to approach these bodies or the courts for dispute resolution. This information must be made easily accessible through the e-commerce platform, ensuring consumers are well informed about their rights and available recourse​.","Since May 2010, last amended in June 2024",https://adilet.zan.kz/kaz/docs/Z100000274_,http://adilet.zan.kz/eng/docs/Z100000274_,,,,
12,12.9,Not in the United Nations Convention of Electronic Communications,1,Lack of signature of the UN Convention on Electronic Communications,Kazakhstan did not sign the United Nations Convention on the Use of Electronic Communications in International Contracts.,Last reviewed in October 2024,https://uncitral.un.org/en/texts/ecommerce/conventions/electronic_communications/status,,,,,
12,12.10,Not in the UNCITRAL Model Law on Electronic Commerce,0.50,Lack of adoption of the UNCITRAL Model Law on Electronic Commerce,Kazakhstan has not notified its adoption of the UNCITRAL Model Law on Electronic Commerce to the UNCITRAL Secretariat.,Last reviewed in October 2024,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_commerce/status,,,,,
12,12.11,Not in the UNCITRAL Model Law on Electronic Signatures,0.50,Lack of adoption of the UNCITRAL Model Law on Electronic Signature,Kazakhstan has not notified its adoption of the UNCITRAL Model Law on Electronic Signatures to the UNCITRAL Secretariat.,Last reviewed in October 2024,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_signatures/status,,,,,
,,,,,,,,,,Overall RDTII score,0.450,
,,,,,,,,,,,,
,,,,,,,,,,,,
